previous_marks,attendance,study_hours,assignment_completion,internal_marks,failed_subjects,cgpa,risk_level
50.14,61.04,1.53,51.45,13.99,4,5.96,High Risk
88.58,91.6,7.41,100.0,25.0,0,7.58,Low Risk
74.15,69.85,4.36,62.41,21.11,0,6.52,Medium Risk
60.92,60.92,3.63,56.72,22.07,1,5.72,High Risk
71.54,81.3,2.83,72.76,18.85,0,6.4,Medium Risk
68.48,69.99,3.09,66.91,19.36,1,6.76,Medium Risk
46.39,64.88,3.66,65.58,18.55,1,6.67,Medium Risk
38.43,55.92,0.5,41.71,12.79,1,5.77,High Risk
89.98,91.41,7.06,100.0,25.04,0,7.84,Low Risk
74.65,80.42,4.6,61.9,17.76,0,6.43,Medium Risk
68.7,75.33,8.04,97.14,28.91,0,9.12,Low Risk
63.96,71.83,4.16,74.26,15.93,1,6.44,Medium Risk
63.62,63.35,6.36,71.49,19.04,0,6.62,Medium Risk
84.18,92.43,5.39,83.14,26.6,0,8.21,Low Risk
83.63,89.82,6.35,100.0,28.88,0,6.89,Low Risk
70.97,79.72,9.41,100.0,24.61,0,9.17,Low Risk
77.87,80.15,7.6,100.0,27.51,0,9.03,Low Risk
81.04,91.36,6.25,85.79,27.48,0,8.11,Low Risk
45.06,47.58,2.05,41.86,15.71,4,5.49,High Risk
50.37,49.08,1.84,49.6,16.06,2,4.0,High Risk
89.37,85.12,6.64,79.8,27.24,0,9.5,Low Risk
46.5,59.08,0.5,45.07,9.75,2,5.16,High Risk
57.24,52.43,1.88,39.58,13.21,2,4.96,High Risk
70.64,56.85,4.72,66.76,20.87,0,6.48,Medium Risk
60.43,59.77,2.06,38.99,14.08,2,4.34,High Risk
84.79,82.9,7.3,96.5,22.84,0,8.08,Low Risk
69.44,73.42,4.62,65.42,10.61,1,6.13,High Risk
55.19,78.74,7.49,76.91,18.99,1,7.21,Medium Risk
59.43,85.23,8.67,90.46,18.78,0,7.91,Low Risk
85.85,100.0,6.29,100.0,26.15,0,8.88,Low Risk
92.37,81.59,8.64,100.0,24.23,0,7.47,Low Risk
73.3,76.31,2.83,67.8,19.88,0,5.7,Medium Risk
90.02,86.97,5.72,93.63,29.64,0,7.88,Low Risk
64.49,72.9,3.21,78.85,19.38,0,6.56,Medium Risk
62.98,75.76,3.63,65.8,12.02,0,6.31,Medium Risk
82.96,92.08,8.37,85.64,28.57,1,9.13,Medium Risk
40.71,51.81,1.5,29.52,12.02,1,4.43,High Risk
71.47,67.54,4.01,84.71,18.0,0,7.24,Medium Risk
71.21,82.52,3.47,81.13,18.24,1,5.73,Medium Risk
90.4,85.88,5.08,82.52,22.8,0,8.49,Low Risk
77.2,95.59,7.66,76.26,22.23,0,8.83,Low Risk
67.85,59.67,1.25,44.24,9.0,3,6.54,High Risk
82.5,87.56,6.09,90.0,27.27,0,8.65,Low Risk
79.83,86.51,5.13,91.45,24.34,0,9.21,Low Risk
54.5,69.04,4.56,72.93,22.54,0,6.44,Medium Risk
90.08,97.51,4.89,86.53,30.0,0,6.8,Low Risk
88.09,84.25,10.4,99.34,25.86,0,8.8,Low Risk
93.77,90.24,7.7,91.14,25.0,0,9.43,Low Risk
77.95,89.42,5.37,86.18,22.76,0,7.54,Low Risk
48.69,46.59,2.76,27.34,11.58,1,4.73,High Risk
62.16,71.95,2.66,60.32,21.18,0,6.57,Medium Risk
93.56,82.47,5.82,88.38,27.57,0,8.72,Low Risk
51.45,64.21,3.15,75.63,19.7,0,6.54,Medium Risk
