cgpa,python,java,cpp,sql,machine_learning,deep_learning,data_visualization,web_development,cloud,projects_count,internship,certifications_count,career_role
8.92,0,1,0,1,0,0,0,1,1,1,0,0,Web Developer
7.49,1,1,1,1,0,0,0,1,1,2,1,1,Software Developer
8.86,1,1,1,0,0,0,0,1,1,4,1,3,Software Developer
7.32,1,0,1,0,1,1,1,0,1,5,1,1,Cloud Engineer
9.1,0,1,0,1,1,0,0,1,0,1,1,3,Backend Developer
7.93,1,0,1,1,0,0,1,0,0,1,0,0,Data Analyst
7.76,1,1,0,1,0,0,0,1,1,3,1,1,Backend Developer
9.76,1,1,1,0,0,0,0,1,1,3,0,3,Cloud Engineer
7.96,1,1,1,1,1,1,1,0,1,3,1,6,Machine Learning Engineer
8.19,1,0,0,0,0,0,0,0,1,3,0,3,Cloud Engineer
7.23,1,1,0,1,1,1,1,0,1,8,1,4,Machine Learning Engineer
9.67,1,0,0,1,1,1,0,0,1,4,0,2,Data Scientist
8.98,1,0,0,1,1,1,0,1,1,4,1,5,AI Engineer
8.46,1,1,1,0,0,0,1,0,1,4,0,5,Software Developer
8.24,1,1,1,1,1,0,1,0,0,5,1,3,Data Analyst
8.52,1,1,0,1,1,1,1,0,1,4,1,5,AI Engineer
6.2,1,0,0,1,0,0,0,1,0,4,0,2,Web Developer
7.12,1,1,1,1,0,0,0,1,1,2,0,2,Backend Developer
9.13,1,1,1,1,1,1,0,0,1,5,0,4,Machine Learning Engineer
7.92,1,1,1,1,0,0,0,1,0,4,1,3,Software Developer
7.19,0,1,0,1,0,0,1,0,0,6,1,5,Business Analyst
7.57,1,0,0,1,1,1,1,0,0,2,0,4,Data Analyst
6.7,0,1,0,1,1,0,1,0,1,1,1,0,Business Analyst
7.84,1,1,0,1,0,0,0,1,1,2,1,6,Cloud Engineer
6.6,1,1,1,1,1,1,1,0,1,2,1,4,Data Scientist
7.25,1,1,1,0,1,1,0,0,1,7,1,1,AI Engineer
7.1,0,0,0,0,1,0,0,1,0,4,1,2,Web Developer
7.75,0,1,1,1,0,0,0,0,0,2,1,3,Software Developer
8.9,1,0,0,1,0,0,0,1,0,3,0,2,Web Developer
7.99,1,0,0,1,0,0,1,1,0,5,1,3,Data Analyst
6.84,0,0,0,0,1,0,1,1,0,0,1,0,Web Developer
7.6,1,0,0,0,1,1,0,0,0,4,0,2,Data Scientist
8.06,1,1,1,0,0,0,0,1,0,5,0,4,Software Developer
7.54,0,0,0,1,0,0,1,0,0,2,1,1,Business Analyst
9.57,1,0,1,1,1,0,1,0,1,6,1,4,AI Engineer
8.55,0,0,1,1,0,0,1,1,0,4,0,3,Software Developer
7.12,0,0,0,0,0,0,1,1,0,6,1,5,Frontend Developer
5.86,1,0,1,1,0,0,0,1,0,8,1,3,Web Developer
6.76,1,0,0,1,1,0,1,1,0,2,0,3,Frontend Developer
7.06,1,0,0,1,0,0,1,1,0,3,0,1,Web Developer
8.27,0,1,0,1,0,0,0,1,1,2,0,3,Cloud Engineer
6.43,1,1,1,1,0,0,0,1,1,5,1,0,Web Developer
7.34,0,1,1,0,1,0,1,1,1,4,0,0,Frontend Developer
7.39,1,0,0,1,0,0,0,1,0,4,0,1,Web Developer
8.64,1,0,1,0,1,1,1,1,1,4,1,2,AI Engineer
8.78,1,1,1,0,0,0,0,0,0,5,0,3,Backend Developer
7.16,0,1,0,1,1,0,0,1,1,7,0,2,Web Developer
7.21,1,0,0,1,1,1,0,0,0,7,1,4,Data Scientist
6.63,0,0,0,1,0,0,1,1,0,3,1,3,Frontend Developer
8.42,1,0,1,1,1,0,0,0,1,5,1,5,Cloud Engineer
9.87,1,0,0,1,1,1,1,0,1,3,1,1,Machine Learning Engineer
7.03,1,0,0,0,0,0,1,1,0,2,0,3,Frontend Developer
7.59,1,0,0,1,1,0,1,0,1,3,1,4,Data Analyst
7.07,1,0,1,1,1,0,1,0,0,5,1,3,Data Scientist
9.04,1,0,0,1,1,0,1,0,0,6,0,5,Data Scientist
8.54,1,1,0,1,1,0,1,0,1,1,0,6,Data Scientist
7.35,1,1,1,0,1,0,0,0,1,3,1,5,Software Developer
6.62,1,1,0,0,0,0,1,1,1,1,0,1,Web Developer
8.71,1,0,1,0,0,0,1,1,0,3,1,1,Frontend Developer
8.33,1,1,0,0,1,0,0,1,0,6,0,5,Web Developer
8.48,1,1,0,0,0,0,0,0,1,6,0,4,Cloud Engineer
7.61,1,1,0,0,0,0,0,1,1,2,0,2,Web Developer
9.23,1,0,0,0,1,1,1,1,1,6,1,4,Machine Learning Engineer
8.14,1,0,0,1,1,0,0,0,0,3,0,1,Business Analyst
8.72,0,0,0,1,1,1,1,0,1,2,1,4,Data Scientist
8.54,1,1,1,1,0,0,0,1,1,6,0,1,Software Developer
6.86,1,0,0,1,0,0,0,1,0,7,1,4,Web Developer
9.38,1,0,0,1,1,1,0,0,0,7,1,1,Data Scientist
7.04,1,0,0,1,0,0,1,0,1,3,0,1,Data Analyst
9.88,1,1,1,0,1,1,1,0,0,2,1,3,Machine Learning Engineer
7.28,1,0,0,1,1,0,1,0,0,4,0,3,Data Analyst
8.23,1,0,0,1,0,0,1,0,1,5,0,3,Cloud Engineer
7.85,1,0,1,1,0,0,1,0,1,3,0,5,Cloud Engineer
8.09,1,1,1,1,0,0,1,0,1,4,1,6,Software Developer
7.48,1,0,0,0,0,0,0,1,1,6,1,5,Web Developer
7.52,1,1,0,1,0,0,1,0,0,8,1,2,Software Developer
6.52,0,0,0,0,0,0,1,1,0,3,1,0,Web Developer
8.73,1,1,0,0,1,0,0,1,1,6,1,4,Cloud Engineer
6.55,0,1,0,1,0,0,0,1,0,3,0,4,Web Developer
8.85,1,0,1,0,1,1,1,0,0,3,0,2,Data Scientist
7.47,0,0,0,0,0,0,1,1,1,5,1,1,Frontend Developer
8.74,1,1,0,0,1,1,0,0,1,2,1,3,Machine Learning Engineer
8.63,1,0,0,0,1,0,1,0,0,4,1,4,Business Analyst
8.69,1,0,0,0,1,1,1,0,0,1,1,6,Data Scientist
6.85,1,1,0,0,0,1,0,1,0,2,0,1,Web Developer
7.45,0,1,0,1,0,0,1,1,0,6,1,2,Frontend Developer
8.17,1,0,1,1,0,0,1,0,0,0,0,1,Business Analyst
8.67,1,0,1,1,1,1,0,1,0,3,1,1,Machine Learning Engineer
7.42,0,0,0,0,0,0,1,1,0,4,0,1,Frontend Developer
8.02,0,0,0,0,0,0,0,1,0,2,1,1,Frontend Developer
6.65,0,0,1,1,0,0,0,1,1,3,0,3,Frontend Developer
7.98,1,0,0,1,0,0,1,0,0,7,0,3,Data Analyst
9.02,1,0,1,1,1,0,1,0,0,8,0,4,Data Scientist
8.79,1,1,1,1,1,1,0,0,1,5,0,2,AI Engineer
7.64,1,0,0,1,0,0,1,0,1,2,0,1,Data Analyst
7.38,1,1,0,1,0,0,1,1,1,5,0,4,Web Developer
8.21,0,1,0,1,0,0,0,1,1,5,0,1,Software Developer
7.52,1,1,0,1,0,0,0,1,0,3,0,2,Backend Developer
8.21,1,1,0,1,0,0,1,0,1,4,0,0,Software Developer
7.9,1,0,0,1,1,0,1,0,1,1,0,3,Data Scientist
7.26,0,0,0,1,1,0,1,0,1,3,0,5,Business Analyst
8.53,1,0,0,1,0,0,0,1,1,2,0,3,Cloud Engineer
9.44,1,0,0,1,0,0,0,1,0,2,0,1,Business Analyst
6.54,1,1,0,0,0,0,1,1,1,2,0,3,Frontend Developer
7.87,0,1,0,1,0,0,1,0,1,4,1,6,Data Analyst
8.05,1,1,1,0,0,0,0,1,0,4,0,4,Software Developer
7.57,1,1,1,0,1,1,1,0,0,6,1,3,Machine Learning Engineer
7.59,1,0,1,1,1,1,0,0,1,2,1,4,AI Engineer
8.52,1,0,0,1,1,0,0,1,1,4,1,1,Web Developer
7.23,0,1,0,1,0,0,1,1,1,4,1,1,Data Analyst
6.74,1,1,0,1,1,0,1,1,0,8,1,2,Web Developer
8.32,1,1,1,1,0,0,0,1,1,2,1,6,Cloud Engineer
6.68,0,1,0,1,0,1,0,1,0,7,0,3,Web Developer
7.39,1,0,0,1,0,0,1,0,1,4,1,3,Business Analyst
8.44,1,0,0,0,1,1,0,0,1,2,1,4,AI Engineer
8.64,1,0,0,1,1,1,1,0,0,6,1,3,AI Engineer
8.11,1,1,0,1,0,0,0,1,0,3,1,3,Backend Developer
8.21,1,1,1,1,0,0,0,1,0,8,0,5,Backend Developer
7.8,1,1,0,0,0,0,1,1,1,7,0,2,Frontend Developer
7.69,0,0,1,0,0,0,0,1,0,2,1,2,Frontend Developer
