transaction_id,skills
1,"Data Visualization, PostgreSQL, Python"
2,"AWS, Business Analytics, Data Visualization, Python, SQL"
3,"Backend Development, Docker, Java, SQL, Scikit-Learn, Spring Boot"
4,"AWS, CSS, Frontend Development, React"
5,"Full Stack Development, JavaScript, MongoDB"
6,"Express, Full Stack Development, JavaScript, MongoDB, Node.js"
7,"DevOps, Docker, Git, Kubernetes, Linux"
8,"Data Visualization, Machine Learning, Python, SQL"
9,"Cloud, DevOps, Docker, FastAPI, Kubernetes, Linux"
10,"Business Analytics, Data Visualization, Python, SQL"
11,"CSS, Frontend Development, Git, HTML, JavaScript, React"
12,"Express, JavaScript, MongoDB, Node.js, Pandas"
13,"Cloud, DevOps, Docker, Kubernetes, Linux, Python"
14,"Cloud, DevOps, Docker, Kubernetes, Linux, Python"
15,"Data Visualization, SQL"
16,"Business Analytics, Data Visualization, SQL"
17,"Computer Vision, FastAPI, NLP, Python"
18,"DevOps, Docker, Kubernetes, Python"
19,"Deep Learning, NLP, Python"
20,"Deep Learning, FastAPI, Machine Learning, PyTorch, Python, TensorFlow"
21,"CSS, HTML, JavaScript"
22,"Business Analytics, Data Visualization, Python, SQL"
23,"Computer Vision, NLP, Python"
24,"Backend Development, Docker, Java, SQL, Spring Boot"
25,"C++, Data Structures, Scikit-Learn, Software Development"
26,"AI Engineer, Deep Learning, PostgreSQL, Python"
27,"Python, SQL"
28,"Business Analytics, Data Visualization, Python, SQL"
29,"Data Analyst, Excel, PostgreSQL, PowerBI, SQL, Tableau"
30,"DevOps, Docker, Kubernetes, Linux, Python"
31,"Business Analytics, Data Visualization, Git"
32,"Docker, Java, Spring Boot"
33,"CSS, Frontend Development, HTML, React, Scikit-Learn"
34,"Machine Learning, Python"
35,"C++, Problem Solving, Software Development"
36,"Cloud, DevOps, Docker, FastAPI, Kubernetes, Linux"
37,"Backend Development, Git, Java, SQL"
38,"Data Analyst, PowerBI, SQL, Tableau"
39,"Business Analytics, Data Visualization, Python, SQL, Scikit-Learn"
40,"Backend Development, Docker, Java, SQL, Spring Boot"
41,"AWS, Data Analyst, Excel, PowerBI, SQL, Tableau"
42,"CSS, HTML, JavaScript, React"
43,"FastAPI, PowerBI, SQL, Tableau"
44,"Data Visualization, SQL, Scikit-Learn"
45,"CSS, Frontend Development, HTML, JavaScript, React"
46,"Deep Learning, PyTorch, Python, Scikit-Learn, TensorFlow"
47,"Backend Development, Docker, Git, Java, SQL, Spring Boot"
48,"AWS, Business Analytics, Data Visualization, Python, SQL"
49,"Frontend Development, Git, JavaScript, React"
